"smelt_ID","smelt_date","smelt_survey","smelt_station","smelt_sal","smelt_secchi","smelt_temp","smelt_lat","smelt_long","zoop_ID","zoop_station","zoop_date","zoop_lat","zoop_long","zoop_sal_avg"
"2018_EDSM_0130",2018-09-27,"EDSM","19-09-LSSC02",0.209392948,0.39,20.8,38.39376,-121.62058,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0133",2018-09-27,"EDSM","19-09-LSSC02",0.209392948,0.39,20.8,38.39376,-121.62058,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0134",2018-09-27,"EDSM","19-09-LSSC02",0.209392948,0.39,20.8,38.39376,-121.62058,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0135",2018-09-27,"EDSM","19-09-LSSC02",0.209392948,0.39,20.8,38.39376,-121.62058,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0136",2018-10-04,"EDSM","19-10-LSSC01",0.247428295,0.38,20.6,38.38976,-121.62311,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0137",2018-10-04,"EDSM","19-10-LSSC01",0.247428295,0.38,20.6,38.38976,-121.62311,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0138",2018-10-04,"EDSM","19-10-LSSC01",0.247428295,0.38,20.6,38.38976,-121.62311,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
"2018_EDSM_0143",2018-10-17,"EDSM","19-12-LSSC03",0.26170645,0.37,18.3,38.4574,-121.59064,"FMWT 796 2018-10-09","796",2018-10-09,38.47387,-121.5844,0.380238495938974
"2011_FMWT_2373",2011-10-07,"FMWT","509",0.183017994,0.569999993,18.20000076,38.04547,-121.90412,"FMWT 508 2011-10-07","508",2011-10-07,38.04813,-121.91492,0.296358826508095
"2011_FMWT_2384",2011-10-07,"FMWT","508",0.238097203,0.460000008,18.29999924,38.04813,-121.91492,"FMWT 508 2011-10-07","508",2011-10-07,38.04813,-121.91492,0.296358826508095
"2015_SFBS_0001",2015-09-01,"SFBS","751",0.865429642,0.4,22.5,38.1055,-121.717,"FMWT 707 2015-09-09","707",2015-09-09,38.11397,-121.70797,0.275892937325582
"2015_SFBS_0005",2015-09-01,"SFBS","751",0.865429642,0.4,22.5,38.1055,-121.717,"FMWT 707 2015-09-09","707",2015-09-09,38.11397,-121.70797,0.275892937325582
"2011_FMWT_1502",2011-09-08,"FMWT","405",5.924745994,0.270000011,19.10000038,38.03353,-122.15815,"FMWT 405 2011-09-08","405",2011-09-08,38.03353,-122.15815,6.82670500416729
"2011_FMWT_1503",2011-09-08,"FMWT","405",5.924745994,0.270000011,19.10000038,38.03353,-122.15815,"FMWT 405 2011-09-08","405",2011-09-08,38.03353,-122.15815,6.82670500416729
"2011_FMWT_1504",2011-09-08,"FMWT","405",5.924745994,0.270000011,19.10000038,38.03353,-122.15815,"FMWT 405 2011-09-08","405",2011-09-08,38.03353,-122.15815,6.82670500416729
"2012_GES_4199",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4206",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4208",2012-09-27,"GES","704",0.783283859,0.58,19.6,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4209",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4210",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4211",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4212",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4214",2012-09-27,"GES","704",0.783283859,0.58,19.6,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4217",2012-09-27,"GES","704",0.173349367,0.62,20.3,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4218",2012-09-27,"GES","704",0.783283859,0.58,19.6,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4222",2012-09-27,"GES","704",0.783283859,0.58,19.6,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
"2012_GES_4224",2012-09-27,"GES","704",0.783283859,0.58,19.6,38.07087,-121.77892,"FMWT 704 2012-09-12","704",2012-09-12,38.07087,-121.77892,0.139968314107529
